Date,InstanceName,Percentage CPU (Average),Disk Read Bytes (Sum),Disk Write Bytes (Sum),Network In Total (Sum),Network Out Total (Sum)
29-09-2025,azure-instance4,31.400650684931506,437464148.19,810074334.4100001,43622418.0,45612870.0
29-09-2025,azure-instance5,29.47777397260274,118741262.11000001,63002332.72,8443616.0,15752046.0
28-09-2025,azure-instance1,33.401269113149844,340955137.40999997,277919271.7,5873084.0,11841825.0
28-09-2025,azure-instance2,27.94091743119266,1270727562.51,1164403029.97,64165775.0,32504313.0
28-09-2025,azure-instance3,27.961146788990824,977189572.5999999,1164557476.77,64488042.0,34115933.0
28-09-2025,azure-instance4,38.7404128440367,180552624.63,139797565.73,5228056.0,33188007.0
28-09-2025,azure-instance5,33.855825688073395,139588712.28,39993925.03,4878587.0,11078288.0
27-09-2025,azure-instance1,51.19315217391304,134138497.89999999,126598089.59,6190832.0,11442142.0
27-09-2025,azure-instance2,42.88971428571429,232744256.06,162836361.16,21127007.0,22757461.0
27-09-2025,azure-instance3,43.08564285714286,234553573.79999998,80307945.03,3464080.0,23643752.0
27-09-2025,azure-instance4,61.98815217391304,123652349.46000001,68012411.25,3312516.0,24131048.0
27-09-2025,azure-instance5,50.70649758454106,156515164.03,46501868.02,4984704.0,9162672.0
26-09-2025,azure-instance1,21.554735294117645,131962892.7,157051459.16,8761860.0,19010488.0
26-09-2025,azure-instance2,17.947970588235297,358109129.81,121695677.8,7859331.0,49238018.0
26-09-2025,azure-instance3,17.706271676300577,124908420.32,181227278.49,9061124.0,53292865.0
26-09-2025,azure-instance4,27.197294117647058,625683088.05,1257141439.88,80580381.0,50640905.0
26-09-2025,azure-instance5,23.02283950617284,144032164.03,124474870.18,11257198.0,19591088.0
25-09-2025,azure-instance1,43.95219512195122,206446491.47,168527002.99,21167545.0,10210357.0
25-09-2025,azure-instance2,36.766951219512194,247568026.14,86981158.76,3847510.0,25259159.0
25-09-2025,azure-instance3,36.76939024390244,202262714.41,189351859.98,22275566.0,27263673.0
25-09-2025,azure-instance4,53.170696202531644,121030636.1,72715937.16,4040274.0,24951083.0
25-09-2025,azure-instance5,44.44668674698795,310027239.94,199971652.47,5481319.0,9594414.0
24-09-2025,azure-instance1,43.896106557377045,627231752.0,618386092.28,4138802.0,10322285.0
24-09-2025,azure-instance2,40.0216,145768814.12,70702575.39,3552763.0,23697945.0
24-09-2025,azure-instance3,39.2398051948052,119998272.78,92467000.34,4292571.0,25487029.0
24-09-2025,azure-instance4,55.88677631578948,229700763.84,224640884.88,3830006.0,23421499.0
24-09-2025,azure-instance5,48.71049783549784,1371998019.0,1356373457.51,46783483.0,11300231.0
23-09-2025,azure-instance1,28.269606299212597,880470173.23,830184608.28,42407432.0,19923259.0
23-09-2025,azure-instance2,23.585968992248063,126432688.42,133346884.13,8315631.0,39725815.0
23-09-2025,azure-instance3,23.59011627906977,115702982.36,135850192.86,7455917.0,41945592.0
23-09-2025,azure-instance4,32.686443089430895,125163299.31,124671109.31,6285633.0,38398430.0
23-09-2025,azure-instance5,28.355625,156070448.7,72425175.8,7580392.0,14416492.0
22-09-2025,azure-instance1,40.607047872340424,99808168.55000001,132242111.69,5159084.0,11423334.0
22-09-2025,azure-instance2,43.763052631578944,1123037209.11,981976174.72,46126935.0,27941105.0
22-09-2025,azure-instance3,44.077894736842104,1461972179.48,986812358.4499999,46233429.0,29096096.0
22-09-2025,azure-instance4,51.33844086021506,415528026.21999997,788536773.35,45041961.0,27253126.0
22-09-2025,azure-instance5,41.040372340425535,124921273.63,56970109.51,6126518.0,10171455.0
21-09-2025,azure-instance1,31.156567278287465,130946983.82000001,137764111.05,6062730.0,12563513.0
21-09-2025,azure-instance2,25.256041666666665,317251806.45,161172606.08,7024405.0,35328537.0
21-09-2025,azure-instance3,25.062124999999998,88218022.85,86655789.23,5578327.0,35275669.0
21-09-2025,azure-instance4,37.99183333333333,179104717.96,214695669.92,6708647.0,34143759.0
21-09-2025,azure-instance5,33.463166666666666,106418077.38000001,32120286.1,5411827.0,11634865.0
20-09-2025,azure-instance1,35.1294537815126,194760296.77,187311995.65,5403068.0,12915351.0
20-09-2025,azure-instance2,43.93932203389831,92909841.53999999,75118889.65,5422297.0,33967363.0
20-09-2025,azure-instance3,43.980210084033615,92965614.53999999,87965836.44,5607053.0,36101611.0
20-09-2025,azure-instance4,44.082166666666666,89759707.76,104513352.96000001,5818641.0,33700540.0
20-09-2025,azure-instance5,34.94054166666667,422788747.89000005,223438774.46,7579235.0,13120650.0
19-09-2025,azure-instance1,36.911675531914895,229018244.42000002,256047530.64999998,5122356.0,12822445.0
19-09-2025,azure-instance2,31.210918367346938,959481861.8900001,1138004556.06,62718222.0,28361708.0
19-09-2025,azure-instance3,31.723917525773192,978355791.2,1119417524.1100001,62837880.0,29952356.0
19-09-2025,azure-instance4,43.66481292517007,588337064.69,1318440944.19,61597042.0,26843390.0
19-09-2025,azure-instance5,37.541958762886594,107881211.95,30407370.53,4448137.0,11099944.0
18-09-2025,azure-instance1,47.74875,94354634.0,62945168.2,3986348.0,10525937.0
18-09-2025,azure-instance2,39.481249999999996,86383940.65,49508687.94,3453825.0,22513706.0
18-09-2025,azure-instance3,39.672763157894735,87325226.45,51733917.4,3547453.0,23774063.0
18-09-2025,azure-instance4,56.70256578947368,92398476.24000001,77117089.22,3774679.0,22539056.0
18-09-2025,azure-instance5,48.262368421052635,115801182.75,56796877.550000004,5430515.0,9815913.0
17-09-2025,azure-instance1,26.157815126050423,99941482.34,75747888.4,5831471.0,15599842.0
17-09-2025,azure-instance2,23.410115384615384,169236271.88,113908372.44,6356769.0,37574412.0
17-09-2025,azure-instance3,23.28553846153846,95891991.4,99879553.55,6397541.0,39668801.0
17-09-2025,azure-instance4,39.41142307692307,341230914.67,246290462.83,6089978.0,36831722.0
17-09-2025,azure-instance5,32.7898076923077,111732494.79,56331205.9,7603548.0,13057916.0
16-09-2025,azure-instance1,44.96910714285715,369508404.11,318395599.61,6937609.0,13974318.0
16-09-2025,azure-instance2,36.91331325301205,1205616998.6399999,1088342635.3,55771559.0,30422193.0
16-09-2025,azure-instance3,37.28536585365854,1338365958.4,1106154173.62,55903309.0,31803145.0
16-09-2025,azure-instance4,52.98753012048193,464923887.77,984102339.7,52232613.0,26157074.0
16-09-2025,azure-instance5,44.768855421686744,146403967.82,52902766.04,5413780.0,9654393.0
15-09-2025,azure-instance1,50.51139285714286,388437407.23,303183129.11,3945147.0,10426893.0
15-09-2025,azure-instance2,40.673648648648644,244205897.89000002,95310731.24,4176016.0,30338395.0
15-09-2025,azure-instance3,40.64804054054054,120613619.02,87511152.28,4292203.0,31806087.0
15-09-2025,azure-instance4,53.59916666666667,125993270.46000001,77356942.28,3681085.0,29463893.0
15-09-2025,azure-instance5,50.01233333333333,74573699.26,37059141.55,3452836.0,9155571.0
14-09-2025,azure-instance1,28.29378048780488,740932506.31,695205218.76,24678556.0,19088190.0
14-09-2025,azure-instance2,25.788993902439028,250199073.89,155907899.24,8187029.0,62899018.0
14-09-2025,azure-instance3,25.761829268292686,123149467.39,125312173.45,7847405.0,65226505.0
14-09-2025,azure-instance4,37.21515151515152,214938314.49,264871164.92,9455135.0,63829244.0
14-09-2025,azure-instance5,28.082393292682926,143851092.46,82194265.64,9395190.0,17230115.0
13-09-2025,azure-instance1,28.127039473684214,169662910.12,216736681.78,7530010.0,17268013.0
13-09-2025,azure-instance2,37.27798013245033,385821514.39,151711088.88,7979649.0,58438962.0
13-09-2025,azure-instance3,37.00128289473684,164749161.31,131444094.33,7889539.0,60752916.0
13-09-2025,azure-instance4,37.68940397350993,424405423.67,367572500.17,8655933.0,58301387.0
13-09-2025,azure-instance5,29.93513157894737,288942263.32,226437589.07999998,7245619.0,16275765.0
12-09-2025,azure-instance1,29.76087786259542,449528676.88,474683919.0,8539514.0,17640384.0
12-09-2025,azure-instance2,24.059615384615384,1538217549.27,3475419796.85,297598025.0,47106196.0
12-09-2025,azure-instance3,24.51412213740458,2296550657.13,4437942431.78,335798489.0,48297387.0
12-09-2025,azure-instance4,37.223124999999996,707228899.66,3726233570.34,331526926.0,44094910.0
12-09-2025,azure-instance5,28.09248091603053,245486307.9,221805209.78,8030525.0,14833787.0
11-09-2025,azure-instance1,44.181250000000006,121959513.57,53357386.14,4114861.0,9548250.0
11-09-2025,azure-instance2,34.30164772727273,122287020.10000001,70585143.42,4301818.0,23382753.0
11-09-2025,azure-instance3,34.52379310344828,221874983.2,68137294.1,4050508.0,24578657.0
11-09-2025,azure-instance4,54.14409090909091,415006852.3,632247658.24,46829951.0,21403196.0
11-09-2025,azure-instance5,43.27022471910112,337657686.19,210080735.95000002,6191148.0,9573363.0
10-09-2025,azure-instance1,40.30151685393258,120493094.35,98894485.88,4766788.0,10622399.0
10-09-2025,azure-instance2,31.20820987654321,120191312.13000001,52197407.82,4398299.0,23549364.0
10-09-2025,azure-instance3,33.38883333333333,120291039.09,57711635.4,4129833.0,24888359.0
10-09-2025,azure-instance4,49.271321839080464,120299584.66999999,69969136.56,4189488.0,23004275.0
10-09-2025,azure-instance5,41.354438202247195,145928532.51,48316491.02,5745811.0,9506898.0
09-09-2025,azure-instance1,44.84767708333333,151818260.95,76402409.92,4039963.0,9537213.0
09-09-2025,azure-instance2,36.7510472972973,1108935068.52,1019489164.9,50567139.0,22788893.0
09-09-2025,azure-instance3,37.35298780487805,1078394983.02,977105164.8199999,49766857.0,23148204.0
09-09-2025,azure-instance4,51.39469879518072,123239776.66,117750937.8,4364828.0,22038816.0
09-09-2025,azure-instance5,44.738780487804874,142412011.29,47454925.71,5438931.0,8798262.0
08-09-2025,azure-instance1,41.18471264367816,714235575.0500001,367437409.36,5132440.0,10358381.0
08-09-2025,azure-instance2,34.133295454545454,114815800.76,61852114.8,3909316.0,22532156.0
08-09-2025,azure-instance3,34.28846590909091,276189892.91,74645504.04,4176439.0,24080923.0
08-09-2025,azure-instance4,49.44318181818182,461634169.95,793796655.72,40501986.0,22899395.0
08-09-2025,azure-instance5,42.13539272030651,318227033.52,179765094.13,3904318.0,9044927.0
07-09-2025,azure-instance1,28.772995867768593,427094464.40999997,313676318.12,7141497.0,13908817.0
07-09-2025,azure-instance2,24.59471544715447,118962949.89999999,99969602.04,5993975.0,30477943.0
07-09-2025,azure-instance3,24.619065040650405,236130112.91,140508211.22,6654597.0,33078800.0
07-09-2025,azure-instance4,31.782168141592923,226475005.59,227216455.38,6013932.0,28769872.0
07-09-2025,azure-instance5,30.27583333333333,165325125.02,123247163.08,5466657.0,11259827.0
06-09-2025,azure-instance1,44.80814814814815,747927389.96,301520218.96000004,4269795.0,8635997.0
06-09-2025,azure-instance2,37.641851851851854,1076717836.41,1039669786.0600001,56376994.0,20756695.0
06-09-2025,azure-instance3,37.641975308641975,1197097987.21,1055547818.02,56437547.0,22276451.0
06-09-2025,azure-instance4,52.810061728395056,147973630.0,159534796.99,3973829.0,20426629.0
06-09-2025,azure-instance5,45.090061728395064,346052090.1,205109992.67000002,5348647.0,8384223.0
05-09-2025,azure-instance1,49.34467741935484,1193171369.56,1128528043.72,13587281.0,8109113.0
05-09-2025,azure-instance2,40.56027027027027,120060705.05,58463695.98,3241478.0,17014065.0
05-09-2025,azure-instance3,41.11458904109589,123760931.63000001,53329700.77,3338559.0,18348703.0
05-09-2025,azure-instance4,58.2379054054054,411421281.2,1088171046.49,60047146.0,18310119.0
05-09-2025,azure-instance5,49.3052027027027,380753190.08,202709701.92999998,5146500.0,7939179.0
04-09-2025,azure-instance1,37.69570707070707,782115860.6800001,723687342.67,87384974.0,10080170.0
04-09-2025,azure-instance2,30.401868686868685,114396890.99,90546030.28,4947259.0,22311161.0
04-09-2025,azure-instance3,30.34767676767677,114318220.38,63099543.86,4487937.0,23258587.0
04-09-2025,azure-instance4,42.7125,118873545.74,73136839.48,4628845.0,20281830.0
04-09-2025,azure-instance5,36.94948979591837,254377423.54,178171691.65,4325551.0,9286236.0
03-09-2025,azure-instance1,50.49702380952381,140725701.71,87326885.23,3833530.0,8063010.0
03-09-2025,azure-instance2,0,0,0,59640738.0,16362904.0
03-09-2025,azure-instance3,43.05281690140845,1077688794.48,1066376514.9100001,59779772.0,17530359.0
03-09-2025,azure-instance4,59.71239436619718,120686172.42,66157829.52,3243084.0,15275321.0
03-09-2025,azure-instance5,50.941830985915495,257394743.03,223227120.54,5577742.0,8248627.0
02-09-2025,azure-instance1,46.64077922077922,733869189.41,403393074.92,10138206.0,8949508.0
02-09-2025,azure-instance2,38.96805194805195,86041712.91,47497589.45,3498502.0,16438459.0
02-09-2025,azure-instance3,38.66192307692308,189465293.5,67088708.269999996,3559335.0,17642691.0
02-09-2025,azure-instance4,55.55350649350649,498355954.86,938777565.99,43447968.0,18441633.0
02-09-2025,azure-instance5,46.91616883116883,112349746.57,48202919.73,5228067.0,7885713.0
01-09-2025,azure-instance1,42.062865853658536,96841933.62,103171901.03,4350278.0,9118985.0
01-09-2025,azure-instance2,35.88809523809524,82981390.57000001,62729971.6,4140288.0,17974234.0
01-09-2025,azure-instance3,34.9628488372093,82844662.52,65780853.33,4314754.0,19398286.0
01-09-2025,azure-instance4,50.022705882352945,85442849.47,81845690.4,4323164.0,27214694.0
01-09-2025,azure-instance5,42.821220930232556,281224454.96000004,180753573.56,3842455.0,8178993.0
31-08-2025,azure-instance1,36.04212871287129,93488607.3,88825815.65,5431809.0,10525298.0
31-08-2025,azure-instance2,30.105500000000003,260243905.92,82558472.08,4504921.0,20180903.0
31-08-2025,azure-instance3,30.064149999999998,252554390.71,88467807.32000001,5036029.0,21905598.0
31-08-2025,azure-instance4,41.98189964157706,211223421.01999998,219734426.55,4603650.0,30678754.0
31-08-2025,azure-instance5,36.527967032967034,277454680.43,252089235.67,7312121.0,10278556.0
30-08-2025,azure-instance1,17.93850427350427,304450983.72,527994051.07,12247220.0,22539359.0
30-08-2025,azure-instance2,22.326160968660968,1386569426.2,1285181973.97,69690665.0,47963262.0
30-08-2025,azure-instance3,22.31367521367521,1195086472.42,1237283708.0,68654800.0,49054429.0
30-08-2025,azure-instance4,22.73957264957265,84445010.04,382425419.79,16375929.0,76926507.0
30-08-2025,azure-instance5,17.879252136752136,543064650.95,412064096.42,25970831.0,20128787.0
29-08-2025,azure-instance1,26.4193661971831,649677898.19,617317993.55,31495388.0,15290889.0
29-08-2025,azure-instance2,21.142307692307693,86485915.11,96131027.86,6963405.0,28344479.0
29-08-2025,azure-instance3,21.289788732394367,95683777.05999999,100670157.67,6444194.0,30297651.0
29-08-2025,azure-instance4,31.852500000000003,376610439.52,3451934909.64,330149934.0,31297328.0
29-08-2025,azure-instance5,25.771489361702127,296492034.55,207397149.01,8121590.0,12640129.0
28-08-2025,azure-instance1,35.059953703703705,95567355.80999999,170375987.43,7189189.0,12188900.0
28-08-2025,azure-instance2,27.76573987538941,86058518.63,69071304.17,4841296.0,20880734.0
28-08-2025,azure-instance3,27.82293209876543,85097769.8,64537803.49,5163131.0,22468582.0
28-08-2025,azure-instance4,41.19981651376146,188332225.28,227676255.72,5000998.0,20725832.0
28-08-2025,azure-instance5,35.281605504587155,574038167.02,340872785.92,13549387.0,9140080.0
27-08-2025,azure-instance1,26.111241134751772,96245948.28,121784539.38,6984255.0,13250655.0
27-08-2025,azure-instance2,21.882801418439715,1237277710.78,1103175857.57,58447709.0,27875614.0
27-08-2025,azure-instance3,21.902340425531914,947354808.42,1111140967.6,58627810.0,30158941.0
27-08-2025,azure-instance4,31.271134751773047,477212728.84000003,1163789218.22,56706899.0,26411014.0
27-08-2025,azure-instance5,26.441524691358023,276509388.7,296282922.03999996,8325525.0,12540505.0
26-08-2025,azure-instance1,28.12708333333333,103823726.93,124655805.18,7475205.0,13967848.0
26-08-2025,azure-instance2,37.74425268817205,317978911.39,104842761.53,7044471.0,29001402.0
26-08-2025,azure-instance3,38.159082278481016,186665039.62,194102083.63,9287333.0,34190646.0
26-08-2025,azure-instance4,37.688037974683546,277688708.11,277424225.17,7970899.0,28953071.0
26-08-2025,azure-instance5,28.531509433962267,824739626.02,562499822.4,35422149.0,13324351.0
25-08-2025,azure-instance1,36.731730769230765,278644149.74,202811712.95999998,4674782.0,8619840.0
25-08-2025,azure-instance2,29.287669902912622,80989398.94999999,56994870.88,4556359.0,18811476.0
25-08-2025,azure-instance3,29.3226213592233,85462094.42999999,64106002.36,4760920.0,20487162.0
25-08-2025,azure-instance4,43.493826530612246,80967675.84,91134668.61,5313158.0,19354721.0
25-08-2025,azure-instance5,37.124951456310676,214271014.67000002,194826399.95000002,6333284.0,8456023.0
24-08-2025,azure-instance1,42.831607142857145,281990650.91,254966977.6,3675637.0,7150135.0
24-08-2025,azure-instance2,36.22708333333333,1102692247.95,1090447067.4,60599700.0,15843601.0
24-08-2025,azure-instance3,36.15833333333334,949917386.62,1090479941.23,60752064.0,17349015.0
24-08-2025,azure-instance4,50.81238095238095,275670485.65,900060215.1999999,59122713.0,16581973.0
24-08-2025,azure-instance5,43.35476190476191,106266163.71,23786037.67,3779193.0,7141891.0
23-08-2025,azure-instance1,36.519149999999996,585155564.71,718009328.0400001,82430647.0,9804911.0
23-08-2025,azure-instance2,30.5653,174600959.06,75472240.07,4630544.0,22975290.0
23-08-2025,azure-instance3,28.360714285714284,84669739.55,51094290.31,4585781.0,24312900.0
23-08-2025,azure-instance4,43.32768229166667,109255529.76,81117690.12,4562072.0,21988684.0
23-08-2025,azure-instance5,37.2987,112240115.75999999,55134094.06,6371499.0,8182107.0
22-08-2025,azure-instance1,28.144850746268656,92664693.05,106848184.02,6525346.0,11682449.0
22-08-2025,azure-instance2,22.344485294117646,114428126.23,202029753.68,50576971.0,31454987.0
22-08-2025,azure-instance3,22.299632352941178,112336162.3,248203228.44,52146810.0,35344866.0
22-08-2025,azure-instance4,34.337279411764705,218258681.62,324255954.26,49607228.0,30646802.0
22-08-2025,azure-instance5,31.13659259259259,110149551.14999999,52266707.7,7812117.0,10954102.0
21-08-2025,azure-instance1,35.6619,381325689.74,692425911.27,4661400.0,8352763.0
21-08-2025,azure-instance2,29.813910891089108,76279807.38,60964590.93,4622934.0,22935862.0
21-08-2025,azure-instance3,0,0,0,4570966.0,24156095.0
21-08-2025,azure-instance4,44.18745,102837454.14,132308123.54,4955623.0,22705411.0
21-08-2025,azure-instance5,36.738762376237624,280201354.42,182930110.13,4497849.0,7887696.0
20-08-2025,azure-instance1,22.965770944741536,40794227.31,463146003.4,117280141.0,60879361.0
20-08-2025,azure-instance2,9.689070866141734,1716981871.07,4171472805.07,358813339.0,100083276.0
20-08-2025,azure-instance3,9.714763779527559,2165249747.56,3948886004.51,316039640.0,108037545.0
20-08-2025,azure-instance4,13.784069020866774,404030234.04,3765911069.56,348503121.0,105846845.0
20-08-2025,azure-instance5,15.069033280507131,754099955.96,1131894160.8,56386948.0,59989112.0
19-08-2025,azure-instance1,30.339766081871343,163913126.46,212877698.41,7806303.0,11670058.0
19-08-2025,azure-instance2,0,0,0,5560845.0,13299207.0
19-08-2025,azure-instance3,23.379057971014493,86013.75,31719124.6,5595988.0,14797892.0
19-08-2025,azure-instance4,38.498124999999995,138042191.71,162003983.28,5613127.0,13016152.0
19-08-2025,azure-instance5,31.61070833333333,133384060.13,34797299.35,5443080.0,8499982.0
18-08-2025,azure-instance1,0,0,0,310753711.0,21980900.0
18-08-2025,azure-instance2,14.060287356321838,1220674508.67,1968130525.98,318155091.0,29001300.0
18-08-2025,azure-instance3,0,0,0,320225067.0,33007969.0
18-08-2025,azure-instance4,21.846968325791856,502233110.88,2076585773.29,309882693.0,28432448.0
18-08-2025,azure-instance5,18.550353773584906,1334970596.66,2376769982.02,342843345.0,18746059.0
17-08-2025,azure-instance1,1.3205555555555555,10522161.73,605686278.22,55273231.0,18811039.0
17-08-2025,azure-instance2,0.44475,1552908578.11,2279061728.17,89481323.0,12583333.0
17-08-2025,azure-instance3,0,0,0,84741074.0,11030827.0
17-08-2025,azure-instance4,7.511562499999999,410846232.05,2207870831.2,78290132.0,2000175.0
17-08-2025,azure-instance5,9.024166666666668,266105491.01000002,1740445555.69,38793965.0,355449.0
